"","ensemble_id","PV_losses","cases_per_100k","start_date","end_date","labor_supply_level","duration","intensity","q_cases"
"888","1798",15483.3763851925,61762.1572550015,70,109,0.265262824250385,39,28.654749854235,"Q2"
"889","1799",16385.1387231902,61759.3599295397,68,104,0.0813470941502601,36,33.0715046105906,"Q2"
"890","18",16187.6335865834,61762.4478730627,55,93,0.131978318328038,38,32.9848239035346,"Q2"
"891","180",17524.1513804056,61715.3812757209,43,100,0.278692242922261,57,41.1145421534311,"Q1"
"892","1800",12155.2385096835,61824.702562039,50,82,0.867367554223165,32,4.24423826485872,"Q4"
"893","1801",13005.0734327173,61800.1630649886,55,105,0.520723253954202,50,23.9638373022899,"Q3"
"894","1802",20316.0860290377,61623.5257965615,63,131,0.123364750994369,68,59.6111969323829,"Q1"
"895","1803",12277.922947066,61819.7076348449,43,90,0.747496886644512,47,11.8676463277079,"Q4"
"896","1804",14913.2237180563,61778.1448562167,59,94,0.261682792799547,35,25.8411022520158,"Q2"
"897","1805",17323.5221084268,61744.8523714617,59,101,0.0530414811801165,42,39.7722577904351,"Q1"
"898","1806",19152.1702218853,61645.0116226316,50,124,0.263419329887256,74,54.5069695883431,"Q1"
"899","1807",20674.9998978484,61618.28562802,53,125,0.130559915211052,72,62.5996861048043,"Q1"
"900","1808",14695.7615442869,61782.3507686535,45,80,0.314845421817154,35,23.9804102363996,"Q2"
"901","1809",14271.6656326706,61764.7900417741,55,128,0.514167428715155,73,35.4657777037937,"Q2"
"902","181",12838.3619328673,61801.5899595916,56,126,0.615249666851014,70,26.932523320429,"Q3"
