I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
1.0303946746463052e-5,1.8125481768664356e-6,-0.9536514366550342,11.586150310822408,2.962695268968659,7.956292548145423e-5,4.953969448238468,1.1310404085234307e-5,blanket_1
1.0096120641300272e-5,1.7759884730172405e-6,-0.9533833962189209,11.586197823729346,2.962702158940823,7.79581760271891e-5,4.953985355429185,1.1082248161073796e-5,blanket_1
9.892484752192976e-6,1.7401659463768805e-6,-0.9531207624788318,11.58624437868978,2.9627089099204973,7.63857817331336e-5,4.954000941778812,1.0858693544296212e-5,blanket_1
9.692954657206973e-6,1.7050657425144709e-6,-0.9528634264068025,11.586289995003249,2.9627155247110553,7.484509072712416e-5,4.95401621375619,1.0639647482645344e-5,blanket_1
9.497447632824786e-6,1.6706733059325579e-6,-0.9526112811722554,11.586334691581044,2.9627220060593493,7.33354642514868e-5,4.954031177699824,1.0425019091787471e-5,blanket_1
1e-6,4.79871979862646e-7,0,11.71922742338056,8.000784506773012,7.86735746666315e-6,0,8.473638842051848e-7,decentralized
1.2837935484901e-6,6.16056256220261e-7,-4.80024826554626e-6,11.71922742338056,8.00078066741687,1.010006275936757e-5,1.5453010833795233e-6,1.087840548190374e-6,decentralized
1.64812217122315e-6,7.90882407073968e-7,-9.75891720544908e-4,11.71916258748084,8.000698536550718,1.2966366269745698e-5,3.52914864469691e-6,1.3965733665431862e-6,decentralized
2.11583775103055e-6,1.01531650636626e-6,-0.00222255823632,11.71907935241729,8.000593098684723,1.664605192881847e-5,6.075993621429867e-6,1.7929254656082687e-6,decentralized
2.71627485244213e-6,1.30343205458509e-6,-0.00382299325244473,11.71897249741447,8.000457740531159,2.136990524187108e-5,9.345599990352663e-6,2.301763367199978e-6,decentralized
3.48708873742325e-6,1.67329315200269e-6,-0.00587757160289693,11.71883532065376,8.000283972785631,2.7434173615286015e-5,1.3543062462588074e-5,2.955010703617968e-6,decentralized
4.47661385482225e-6,2.1480847703061e-6,-0.00851513803590276,11.71865921935756,8.000060898263218,3.521912143610769e-5,1.8931664466368902e-5,3.793650986536399e-6,decentralized
5.74688976322579e-6,2.75756232565579e-6,-0.0119010761721827,11.71843315096518,7.999774529450162,4.521283608881192e-5,2.5849380706097624e-5,4.870298726874006e-6,decentralized
7.37754266730223e-6,3.53991021788265e-6,-0.0162476603954076,11.71814294182603,7.999406912968631,5.80417653892393e-5,3.473005568327342e-5,6.252500178415783e-6,decentralized
9.470763351312e-6,4.54412383041726e-6,-0.0218273340045649,11.71777040041797,7.998935006540103,7.450988076696692e-5,4.613058035973467e-5,8.026970730095049e-6,decentralized
1.21576893071803e-5,5.83306096346474e-6,-0.0289897365712499,11.71729218008117,7.998329238839763,9.564888774825433e-5,6.076576122694902e-5,1.0305034697216417e-5,decentralized
1.56065840329949e-5,7.48734842863332e-6,-0.0381835321265567,11.71667832094754,7.997551663288891,1.2278257542115389e-4,7.955305168472768e-5,1.3229608635034141e-5,decentralized
2.00333144256177e-5,9.61037949403262e-6,-0.0499843802264754,11.71589038128594,7.996553592262085,1.57609245828504e-4,1.0366992289877068e-4,1.6984166031711036e-5,decentralized
2.57147634660364e-5,1.23347002390848e-5,-0.0651307596166606,11.71487904382139,7.995272567078616,2.0230723635818236e-4,1.3462742538436368e-4,2.1804245374343203e-5,decentralized
3.30059865538862e-5,1.58301600466621e-5,-0.0845698177203702,11.71358105145278,7.993628479926134,2.596698947596074e-4,1.7436447722728431e-4,2.7992222866565042e-5,decentralized
4.23621333573434e-5,2.03142957743025e-5,-0.109516000237309,11.71191528769101,7.9915186146898165,3.3327804617318615e-4,2.25368664007025e-4,3.5936275432410226e-5,decentralized
5.43664209499501e-5,2.60655324520247e-5,-0.141525938184772,11.70977776836028,7.988811312454942,4.2772006779718885e-4,2.90830914578413e-4,4.6134721775787944e-5,decentralized
6.97657661200884e-5,3.34399161321528e-5,-0.182593960389532,11.70703525081327,7.985337892035311,5.488722210037555e-4,3.748434037718677e-4,5.922726544011217e-5,decentralized
8.95160710206854e-5,4.28922443447598e-5,-0.235273681470116,11.70351709332031,7.980882364224211,7.042549297332593e-4,4.826525177400899e-4,7.603509482406525e-5,decentralized
1.14839607863449e-4,5.50026185307629e-5,-0.302832404253606,11.69900490904191,7.975168369221622,9.034842463970105e-4,6.209817992683133e-4,9.76123475276084e-5,decentralized
1.47297456041797e-4,7.05095929467897e-5,-0.38944656726464,11.69321945583547,7.967842640147829,0.001158841740617254,7.98443569714711e-4,1.2531215414373435e-4,decentralized
1.88880480519639e-4,9.0351200942307e-5,-0.500448118834629,11.68580408716152,7.958454155300299,0.001485990258733558,0.0010260624881153614,1.608713829282211e-4,decentralized
2.42122840989413e-4,1.15715139069601e-4,-0.642633392970249,11.67630396702457,7.94642799754881,0.0019048669409249873,0.001317939699291964,2.0651936678498184e-4,decentralized
3.10242366557135e-4,1.48099173871548e-4,-0.824647554243308,11.66414013750066,7.931032811393924,0.0024407875990369184,0.0016920923877844138,2.651173779018328e-4,decentralized
3.97312104938589e-4,1.89382227211099e-4,-1.0574585113959,11.64857744852624,7.9113406750873425,0.0031257963554310168,0.0021715102529363396,3.403375126456639e-4,decentralized
5.08466592951411e-4,2.41905312160527e-4,-1.35493356766268,11.62868536551154,7.8861782542243075,0.004000288446681976,0.002785477079139312,4.368920743356954e-4,decentralized
6.50144304543421e-4,3.08559107575134e-4,-1.7345286365554,11.60329084447462,7.854068386975148,0.005114917648884651,0.003571211056091998,5.608276412644771e-4,decentralized
8.30363397188456e-4,3.92870869126646e-4,-2.21809145901952,11.57092294200117,7.813161949543914,0.006532765673122003,0.004575879754260185,7.199019728986908e-4,decentralized
0.00105901995101707,4.99076782702604e-4,-2.83276364009427,11.52974981780934,7.761161237792313,0.008331688519319843,0.0058590412115410795,9.240669914726979e-4,decentralized
0.00134818453594352,6.32155873286488e-4,-3.61193677004197,11.47751059859068,7.695238572061864,0.010606649675852332,0.007495545889179447,0.0011860876229537651,decentralized
